ID,STATE_NAME,STATE_FIPS,SUB_REGION,STATE_ABBR,State,AllAge_B_AA_Rate,AllAge_B_Lower_CI,AllAge_B_Upper_CI,AllAge_B_Average_Count,AllAge_B_Recent_Trend,AllAge_B_Recent_5yr_Trend,AllAge_B_Lower_Trend_CI,AllAge_B_Upper_Trend_CI,AllAge_M_AA_Rate,AllAge_M_Lower_CI,AllAge_M_Upper_CI,AllAge_M_Average_Count,AllAge_M_Recent_Trend,AllAge_M_Recent_5yr_Trend,AllAge_M_Lower_Trend_CI,AllAge_M_Upper_Trend_CI,AllAge_F_AA_Rate,AllAge_F_Lower_CI,AllAge_F_Upper_CI,AllAge_F_Average_Count,AllAge_F_Recent_Trend,AllAge_F_Recent_5yr_Trend,AllAge_F_Lower_Trend_CI,AllAge_F_Upper_Trend_CI,Under50_B_AA_Rate,Under50_B_Lower_CI,Under50_B_Upper_CI,Under50_B_Average_Count,Under50_B_Recent_Trend,Under50_B_Recent_5yr_Trend,Under50_B_Lower_Trend_CI,Under50_B_Upper_Trend_CI,Under50_M_AA_Rate,Under50_M_Lower_CI,Under50_M_Upper_CI,Under50_M_Average_Count,Under50_M_Recent_Trend,Under50_M_Recent_5yr_Trend,Under50_M_Lower_Trend_CI,Under50_M_Upper_Trend_CI,Under50_F_AA_Rate,Under50_F_Lower_CI,Under50_F_Upper_CI,Under50_F_Average_Count,Under50_F_Recent_Trend,Under50_F_Recent_5yr_Trend,Under50_F_Lower_Trend_CI,Under50_F_Upper_Trend_CI,Age50over_B_AA_Rate,Age50over_B_Lower_CI,Age50over_B_Upper_CI,Age50over_B_Average_Count,Age50over_B_Recent_Trend,Age50over_B_Recent_5yr_Trend,Age50over_B_Lower_Trend_CI,Age50over_B_Upper_Trend_CI,Age50over_M_AA_Rate,Age50over_M_Lower_CI,Age50over_M_Upper_CI,Age50over_M_Average_Count,Age50over_M_Recent_Trend,Age50over_M_Recent_5yr_Trend,Age50over_M_Lower_Trend_CI,Age50over_M_Upper_Trend_CI,Age50over_F_AA_Rate,Age50over_F_Lower_CI,Age50over_F_Upper_CI,Age50over_F_Average_Count,Age50over_F_Recent_Trend,Age50over_F_Recent_5yr_Trend,Age50over_F_Lower_Trend_CI,Age50over_F_Upper_Trend_CI,Under65_B_AA_Rate,Under65_B_Lower_CI,Under65_B_Upper_CI,Under65_B_Average_Count,Under65_B_Recent_Trend,Under65_B_Recent_5yr_Trend,Under65_B_Lower_Trend_CI,Under65_B_Upper_Trend_CI,Under65_M_AA_Rate,Under65_M_Lower_CI,Under65_M_Upper_CI,Under65_M_Average_Count,Under65_M_Recent_Trend,Under65_M_Recent_5yr_Trend,Under65_M_Lower_Trend_CI,Under65_M_Upper_Trend_CI,Under65_F_AA_Rate,Under65_F_Lower_CI,Under65_F_Upper_CI,Under65_F_Average_Count,Under65_F_Recent_Trend,Under65_F_Recent_5yr_Trend,Under65_F_Lower_Trend_CI,Under65_F_Upper_Trend_CI,Age65over_B_AA_Rate,Age65over_B_Lower_CI,Age65over_B_Upper_CI,Age65over_B_Average_Count,Age65over_B_Recent_Trend,Age65over_B_Recent_5yr_Trend,Age65over_B_Lower_Trend_CI,Age65over_B_Upper_Trend_CI,Age65over_M_AA_Rate,Age65over_M_Lower_CI,Age65over_M_Upper_CI,Age65over_M_Average_Count,Age65over_M_Recent_Trend,Age65over_M_Recent_5yr_Trend,Age65over_M_Lower_Trend_CI,Age65over_M_Upper_Trend_CI,Age65over_F_AA_Rate,Age65over_F_Lower_CI,Age65over_F_Upper_CI,Age65over_F_Average_Count,Age65over_F_Recent_Trend,Age65over_F_Recent_5yr_Trend,Age65over_F_Lower_Trend_CI,Age65over_F_Upper_Trend_CI,Shape__Area,Shape__Length,Total_Rate,STATE_X,STATE_Y
1,Alaska,2,Pacific,AK,"Alaska(6,10)",56,53.22,58.97,348.6,stable,-1.88,-4.37,0.67,64.15,59.69,68.82,194.4,stable,-1.36,-5.09,2.51,48.77,45.18,52.56,154.2,stable,-2.82,-12.24,7.6,2.63,2.0,3.39,11.8,stable,-9.97,-30.17,16.07,2.65,1.8,3.75,6.2,stable,-19.96,-64.68,81.37,2.61,1.73,3.77,5.6,stable,-11.31,-39.18,29.33,196.04,185.97,206.51,336.8,stable,-1.61,-4.86,1.76,225.31,209.38,242.1,188.2,stable,-1.04,-3.43,1.42,169.76,157.01,183.26,148.6,stable,-2.54,-11.06,6.79,15.69,14.5,16.96,133.8,stable,1.79,-6.27,10.54,16.5,14.84,18.32,74.0,stable,4.78,-7.06,18.12,14.8,13.13,16.62,59.8,stable,-1.77,-16.09,15.0,335.0,314.29,356.7,214.8,stable,-2.96,-7.16,1.43,393.46,360.34,428.82,120.4,stable,-2.94,-6.37,0.6,283.59,257.78,311.29,94.4,stable,-3.11,-12.92,7.81,277.524097027282,407.570958318092,120.15,6,10
2,California,6,Pacific,CA,"California(7,8)",45,41.77,42.35,16822.6,falling,-3.87,-4.43,-3.31,47.39,46.93,47.86,8458.6,falling,-4.64,-5.29,-3.99,38.08,37.71,38.45,8364.0,falling,-3.15,-3.85,-2.45,1.98,1.91,2.06,500.4,falling,-5.56,-6.14,-4.97,1.81,1.71,1.92,230.2,falling,-5.59,-6.09,-5.09,2.15,2.04,2.27,270.2,falling,-5.25,-6.1,-4.4,147.0,145.97,148.03,16322.2,falling,-3.81,-4.38,-3.23,166.74,165.09,168.4,8228.4,falling,-4.59,-5.23,-3.95,132.14,130.84,133.46,8093.8,falling,-3.07,-3.78,-2.35,10.58,10.44,10.72,4396.2,falling,-4.56,-4.75,-4.37,10.99,10.79,11.2,2243.2,falling,-4.03,-5.44,-2.59,10.21,10.02,10.41,2153.0,falling,-4.0,-4.26,-3.73,259.66,257.6,261.73,12426.4,falling,-3.73,-4.43,-3.04,299.01,295.65,302.4,6215.4,falling,-4.47,-5.17,-3.76,230.67,228.08,233.29,6211.0,falling,-3.1,-3.92,-2.26,41.5336180835893,42.2601575015428,89.39,7,8
3,Hawaii,15,Pacific,HI,"Hawaii(7,8)",45,44.27,47.16,815.0,falling,-3.35,-4.88,-1.79,57.16,54.8,59.6,464.0,falling,-2.66,-3.11,-2.21,36.41,34.68,38.21,351.0,falling,-1.14,-1.76,-0.52,2.47,2.02,2.98,21.2,falling,-9.0,-9.0,-9.0,2.8,2.14,3.6,12.2,falling,-9.0,-9.0,-9.0,2.12,1.55,2.84,9.0,falling,-9.0,-9.0,-9.0,158.89,153.88,164.02,793.8,falling,-3.3,-4.88,-1.7,199.51,191.17,208.13,451.8,falling,-2.7,-3.18,-2.21,126.18,120.13,132.46,342.0,falling,-1.06,-1.66,-0.45,13.88,13.07,14.74,228.8,falling,-4.15,-4.98,-3.31,15.95,14.71,17.26,130.0,falling,-3.57,-4.33,-2.81,11.86,10.81,13.0,98.8,falling,-2.77,-3.58,-1.96,265.58,255.85,275.59,586.2,falling,-1.49,-1.94,-1.04,342.06,325.51,359.24,334.0,falling,-2.32,-2.86,-1.77,206.07,194.56,218.07,252.2,stable,-0.5,-1.18,0.19,1.42928890206281,11.9527869431586,102.16,7,8
4,Idaho,16,Mountain,ID,"Idaho(7,8)",50,48.87,51.85,914.0,falling,-1.25,-1.71,-0.78,55.6,53.32,57.95,471.4,falling,-2.23,-2.85,-1.61,46.28,44.34,48.29,442.6,stable,-0.2,-0.76,0.36,2.3,1.89,2.77,21.8,falling,-3.83,-5.45,-2.18,1.82,1.32,2.44,8.8,falling,-9.0,-9.0,-9.0,2.78,2.15,3.54,13.0,falling,-9.0,-9.0,-9.0,176.15,170.93,181.48,892.2,falling,-1.14,-1.63,-0.64,196.41,188.29,204.79,462.6,falling,-2.1,-2.76,-1.43,160.19,153.38,167.21,429.6,stable,-0.12,-0.66,0.42,13.38,12.61,14.19,238.2,falling,-2.2,-2.83,-1.56,12.99,11.93,14.12,116.2,falling,-3.05,-3.92,-2.17,13.79,12.69,14.97,122.0,falling,-1.26,-2.21,-0.3,305.82,295.46,316.45,675.8,falling,-0.95,-1.46,-0.44,350.15,333.74,367.16,355.2,falling,-2.01,-2.69,-1.32,270.87,257.61,284.63,320.6,stable,-2.82,-5.95,0.43,24.3915953223368,28.5296728435378,105.6,7,8
5,Nevada,32,Mountain,NV,"Nevada(6,10)",55,54.01,56.4,1740.4,falling,-5.3,-9.26,-1.17,57.64,55.87,59.45,861.0,falling,-7.5,-13.78,-0.76,53.37,51.78,55.01,879.4,stable,-3.3,-7.23,0.8,2.12,1.83,2.44,38.6,stable,-1.51,-5.94,3.14,1.9,1.52,2.34,17.6,stable,-2.93,-14.83,10.63,2.34,1.91,2.84,21.0,stable,-0.26,-10.92,11.68,194.3,190.09,198.57,1701.8,falling,-5.41,-9.55,-1.08,203.68,197.35,210.15,843.4,falling,-7.61,-14.23,-0.48,187.12,181.45,192.91,858.4,stable,-3.39,-7.17,0.54,13.91,13.33,14.51,447.4,falling,-6.36,-9.27,-3.36,13.58,12.77,14.42,217.2,stable,-7.76,-16.81,2.27,14.28,13.45,15.15,230.2,stable,-5.01,-12.19,2.75,340.59,332.15,349.18,1293.0,stable,-5.01,-10.77,1.13,362.17,349.35,375.35,643.8,stable,-7.45,-16.04,2.02,323.62,312.39,335.15,649.2,stable,-2.75,-6.26,0.9,29.9699249557427,23.6087337772905,112.64,6,10
6,Oregon,41,Pacific,OR,"Oregon(6,10)",54,53.74,55.64,2683.6,falling,-4.29,-7.22,-1.26,59.68,58.23,61.17,1343.8,falling,-4.49,-8.36,-0.45,50.93,49.69,52.19,1339.8,falling,-4.14,-6.47,-1.76,2.79,2.49,3.1,67.0,stable,-9.99,-22.88,5.07,2.7,2.31,3.15,32.8,stable,-9.87,-28.13,13.04,2.87,2.46,3.34,34.2,stable,-9.51,-26.03,10.7,190.72,187.39,194.08,2616.6,falling,-4.07,-6.76,-1.31,209.02,203.86,214.29,1311.0,falling,-4.31,-7.81,-0.67,176.91,172.56,181.35,1305.6,falling,-3.9,-6.0,-1.75,15.16,14.65,15.68,726.6,stable,-3.3,-8.14,1.79,15.54,14.82,16.29,365.8,stable,-3.88,-10.42,3.15,14.82,14.12,15.55,360.8,stable,-2.68,-6.46,1.26,327.88,321.31,334.56,1957.0,falling,-4.6,-7.61,-1.5,364.81,354.44,375.4,978.0,falling,-4.67,-8.13,-1.08,300.54,292.03,309.24,979.0,falling,-4.64,-7.92,-1.25,28.1877890929331,24.7872488395167,113.68,6,10
7,Washington,53,Pacific,WA,"Washington(5,10)",55,55.07,56.59,4389.6,falling,-2.82,-4.63,-0.97,61.26,60.08,62.45,2209.8,falling,-3.18,-5.85,-0.44,51.72,50.73,52.73,2179.8,stable,-2.57,-5.1,0.02,2.8,2.58,3.03,123.6,stable,-2.83,-11.58,6.79,2.5,2.21,2.81,55.8,stable,-6.29,-20.81,10.9,3.1,2.78,3.45,67.8,stable,0.77,-14.57,18.85,194.82,192.15,197.52,4265.8,falling,-2.82,-4.86,-0.73,215.22,211.04,219.46,2153.8,stable,-3.09,-6.19,0.12,179.2,175.72,182.72,2112.0,falling,-2.71,-4.98,-0.38,15.23,14.85,15.63,1253.6,stable,-0.32,-2.12,1.52,15.56,15.02,16.12,637.0,stable,-1.28,-7.75,5.64,14.96,14.42,15.51,616.6,stable,0.81,-5.86,7.95,336.43,331.09,341.84,3136.0,falling,-3.59,-5.99,-1.13,377.12,368.64,385.74,1572.8,stable,-3.7,-8.35,1.18,305.86,298.99,312.85,1563.2,falling,-3.69,-5.8,-1.53,20.750757823042,34.9568573744461,116.25999999999999,5,10
8,Arizona,4,Mountain,AZ,"Arizona(6,10)",48,47.42,48.78,3922.2,falling,-3.32,-5.01,-1.59,53.05,52.0,54.11,2003.8,falling,-3.85,-6.26,-1.37,44.03,43.14,44.93,1918.4,falling,-2.81,-4.99,-0.58,2.17,1.97,2.38,85.6,falling,-9.61,-15.13,-3.72,2.03,1.76,2.33,40.2,stable,-11.44,-23.1,1.98,2.31,2.02,2.63,45.4,stable,-8.38,-23.31,9.47,168.45,166.05,170.87,3836.4,falling,-3.11,-4.79,-1.39,186.73,183.01,190.51,1963.4,falling,-3.64,-5.8,-1.44,153.39,150.27,156.56,1873.0,falling,-2.6,-4.47,-0.68,13.11,12.74,13.5,952.4,stable,-3.42,-8.53,1.98,13.77,13.22,14.34,483.2,stable,-4.55,-11.4,2.83,12.54,12.03,13.07,469.2,stable,-2.3,-10.73,6.93,289.89,285.21,294.63,2969.8,falling,-3.27,-4.96,-1.56,324.57,317.23,332.03,1520.6,falling,-3.63,-5.56,-1.66,261.68,255.63,267.83,1449.2,falling,-2.99,-4.55,-1.41,28.8590896907558,23.2572697298343,101.05,6,10
9,Arkansas,5,West South Central,AR,"Arkansas(6,10)",75,76.85,79.45,2867.0,stable,-0.36,-2.59,1.92,97.8,95.65,99.99,1630.0,stable,-1.31,-3.53,0.96,62.61,61.03,64.22,1237.0,stable,0.85,-2.2,3.98,5.32,4.84,5.82,92.8,stable,0.25,-13.92,16.75,5.28,4.61,6.01,45.8,stable,-3.31,-18.69,14.98,5.35,4.69,6.08,47.0,stable,3.8,-12.61,23.3,269.11,264.61,273.68,2774.2,stable,-0.39,-2.71,1.99,340.35,332.74,348.08,1584.2,stable,-1.22,-3.5,1.12,212.8,207.38,218.33,1190.0,stable,0.65,-3.12,4.57,28.56,27.73,29.41,942.8,stable,-0.41,-5.11,4.52,32.89,31.63,34.19,533.4,stable,-1.97,-7.02,3.35,24.55,23.47,25.68,409.4,stable,1.59,-3.71,7.17,420.9,412.45,429.47,1924.2,stable,-0.32,-1.88,1.26,546.5,531.87,561.43,1096.6,stable,-1.03,-2.09,0.04,325.65,315.72,335.8,827.6,stable,0.5,-2.82,3.93,13.5174647423696,20.8771793443774,175.8,6,10
10,Colorado,8,Mountain,CO,"Colorado(6,10)",45,41.73,43.32,2327.0,falling,-3.07,-3.99,-2.13,45.55,44.33,46.81,1137.2,falling,-3.31,-5.88,-0.66,40.36,39.32,41.43,1189.8,falling,-2.83,-5.11,-0.51,1.94,1.74,2.16,66.0,stable,0.03,-9.65,10.75,1.76,1.49,2.06,30.6,stable,0.55,-7.51,9.31,2.13,1.83,2.47,35.4,stable,-0.68,-17.04,18.9,148.86,146.05,151.71,2260.8,falling,-3.18,-4.44,-1.9,160.29,155.91,164.76,1106.4,falling,-3.42,-6.07,-0.7,140.58,136.89,144.34,1154.4,falling,-2.93,-5.24,-0.56,11.14,10.77,11.53,683.2,stable,-3.05,-6.63,0.66,11.15,10.61,11.7,338.4,stable,-3.99,-13.74,6.86,11.16,10.63,11.71,344.8,stable,-2.05,-6.78,2.92,259.41,253.73,265.18,1643.8,falling,-3.05,-4.8,-1.27,283.4,274.44,292.57,798.8,falling,-3.05,-5.91,-0.11,242.24,234.86,249.78,845.0,falling,-3.12,-5.72,-0.44,28.0415971958025,22.0256262722846,87.55,6,10
11,Iowa,19,West North Central,IA,"Iowa(7,8)",63,61.91,64.2,2436.0,falling,-1.38,-2.05,-0.71,74.98,73.15,76.85,1315.8,falling,-1.3,-1.49,-1.1,54.0,52.56,55.47,1120.2,stable,1.03,-1.02,3.12,3.91,3.51,4.33,71.6,falling,-5.63,-9.91,-1.15,3.24,2.74,3.8,30.0,falling,-2.16,-3.26,-1.05,4.58,3.98,5.25,41.6,stable,0.22,-0.66,1.11,217.92,213.95,221.94,2364.4,falling,-1.2,-1.86,-0.53,262.84,256.35,269.46,1285.8,falling,-1.26,-1.44,-1.08,183.39,178.44,188.43,1078.6,stable,-0.13,-0.78,0.54,20.37,19.69,21.06,729.2,falling,-1.38,-1.62,-1.13,21.63,20.67,22.64,392.6,falling,-2.13,-2.44,-1.81,19.13,18.2,20.1,336.6,falling,-0.44,-0.81,-0.07,358.07,350.42,365.84,1706.8,falling,-1.46,-2.22,-0.7,443.73,430.89,456.86,923.2,falling,-2.9,-4.31,-1.48,294.99,285.66,304.55,783.6,stable,-0.56,-1.57,0.45,15.8533793044405,18.7903206410747,137.98000000000002,7,8
12,Kansas,20,West North Central,KS,"Kansas(6,10)",59,58.66,61.06,1990.2,stable,-1.97,-5.93,2.17,69.42,67.5,71.37,1044.2,falling,-4.3,-7.92,-0.53,52.73,51.21,54.29,946.0,stable,0.72,-3.79,5.44,3.14,2.77,3.55,52.0,stable,-2.62,-13.98,10.23,2.94,2.45,3.51,24.6,stable,-8.85,-29.92,18.56,3.35,2.81,3.96,27.4,stable,2.11,-16.19,24.4,208.51,204.31,212.77,1938.2,stable,-1.93,-6.17,2.5,243.63,236.84,250.56,1019.6,falling,-4.16,-7.34,-0.86,182.23,176.91,187.66,918.6,stable,0.63,-4.99,6.58,18.79,18.11,19.49,608.6,stable,-3.4,-7.0,0.35,19.68,18.71,20.7,317.8,stable,-6.57,-14.55,2.16,17.94,17.01,18.92,290.8,stable,0.12,-2.94,3.28,343.69,335.53,351.99,1381.6,stable,-1.42,-6.82,4.31,413.19,399.68,427.03,726.4,stable,-3.51,-7.17,0.28,293.24,283.12,303.62,655.2,stable,0.93,-6.63,9.1,21.9823053514629,21.1048705545249,128.42000000000002,6,10
13,Louisiana,22,West South Central,LA,"Louisiana(7,8)",67,66.48,68.52,3535.2,falling,-2.03,-2.47,-1.59,84.77,83.06,86.51,1986.6,falling,-2.34,-2.66,-2.02,54.15,52.94,55.39,1548.6,falling,-1.34,-1.94,-0.73,4.68,4.33,5.05,132.8,falling,-12.24,-17.03,-7.18,4.86,4.35,5.4,68.2,falling,-4.75,-5.61,-3.89,4.51,4.03,5.03,64.6,falling,-14.07,-23.68,-3.24,231.98,228.45,235.56,3402.4,falling,-1.78,-2.2,-1.37,294.04,287.98,300.19,1918.4,falling,-2.21,-2.52,-1.9,184.16,179.94,188.45,1484.0,falling,-0.34,-0.67,-0.02,24.7,24.08,25.32,1288.2,falling,-2.07,-2.35,-1.8,29.01,28.07,29.98,739.0,falling,-2.83,-3.19,-2.48,20.7,19.91,21.51,549.2,falling,-1.03,-1.53,-0.52,363.32,356.55,370.19,2247.0,falling,-2.13,-2.73,-1.52,470.21,458.34,482.31,1247.6,falling,-2.13,-2.59,-1.68,285.41,277.48,293.51,999.4,falling,-1.39,-2.25,-0.51,11.2246534354665,32.5702758614539,151.76999999999998,7,8
14,Minnesota,27,West North Central,MN,"Minnesota(6,10)",55,55.13,56.82,3529.2,stable,-0.06,-4.08,4.12,61.81,60.5,63.14,1781.2,stable,-0.9,-5.72,4.18,51.78,50.68,52.9,1748.0,stable,0.74,-2.79,4.4,3.1,2.83,3.38,103.0,stable,-0.94,-11.92,11.4,2.73,2.38,3.11,45.4,stable,-0.67,-6.33,5.34,3.47,3.08,3.9,57.6,stable,-1.07,-16.68,17.46,194.54,191.59,197.53,3425.8,stable,-0.03,-3.84,3.94,216.61,211.97,221.33,1735.4,stable,-0.9,-5.85,4.31,178.47,174.62,182.38,1690.4,stable,0.83,-2.04,3.79,16.94,16.49,17.41,1083.6,stable,0.11,-6.02,6.63,16.96,16.32,17.63,544.6,stable,-0.85,-6.9,5.6,16.94,16.29,17.61,539.0,stable,1.06,-5.74,8.35,325.72,319.9,331.62,2445.6,stable,-0.12,-4.03,3.94,371.84,362.51,381.35,1236.6,stable,-0.95,-6.66,5.12,292.65,285.2,300.24,1209.0,stable,0.64,-1.92,3.25,25.5778358054988,29.5110548883795,116.81,6,10
